plantId,curDate,plyPath
220_4,2018-06-29,Z:\result\3_rotatingCamera\3_panicleExperiment\2018-06-29\220_4\original\merge\surface-L2-clean.ply
269_1,2018-06-29,Z:\result\3_rotatingCamera\3_panicleExperiment\2018-06-29\269_1\original\merge\surface-L2-clean.ply
220_4,2018-06-23,Z:\result\3_rotatingCamera\3_panicleExperiment\2018-06-23\220_4\original\merge\surface-L2-clean.ply
220_4,2018-06-24,Z:\result\3_rotatingCamera\3_panicleExperiment\2018-06-24\220_4\original\merge\surface-L2-clean.ply
220_4,2018-06-25,Z:\result\3_rotatingCamera\3_panicleExperiment\2018-06-25\220_4\original\merge\surface-L2-clean.ply
